MOVIE,CERTIFICATE,RATING,THEATRE,DATE,MONTH,DAY,YEAR
JAI HO,U/A,3.5,CINEMAX,26,January,SUNDAY,2014
QUEEN,U/A,3.5,CINEMAX,15,March,SATURDAY,2014
BHOOTHNATH RETURNS,U,3.5,CINEMAX,14,April,SATURDAY,2014
MIGHTY RAJU,U,3,BIG CINEMAS,17,May,SATURDAY,2014
GODZILLA,U/A,3.5,BIG CINEMAS,19,May,MONDAY,2014
HEROPANTI,U/A,3.5,CINEMAX,31,May,SATURDAY,2014
HOLIDAY,U/A,3.75,BIG CINEMAS,7,June,SATURDAY,2014
HUMSHAKALS,U/A,1,BIG CINEMAS,23,June,MONDAY,2014
EK VILLAIN,U/A,3,BIG CINEMAS,25,July,SATURDAY,2014
KICK,U/A,3.25,BIG CINEMAS,2,August,SATURDAY,2014
SINGHAM RETURNS,U/A,3.5,BIG CINEMAS,16,August,SATURDAY,2014
BANG BANG,U/A,3,COSMOPLEX-BLUE,6,October,MONDAY,2014
HAPPY NEW YEAR,U,3.25,COSMOPLEX-BLUE,27,October,MONDAY,2014
KILL DIL,U/A,1,BIG CINEMAS,15,November,SATURDAY,2014
PK,U/A,4,BIG CINEMAS,25,December,SATURDAY,2014
BABY,U/A,4,COSMOPLEX-BLUE,1,February,SUNDAY,2015
FAST AND FURIOUS 7,A,3.5,BIG CINEMAS,12,April,SUNDAY,2015
AVENGERS AGE OF ULTRON,U/A,3,GALAXY,27,April,MONDAY,2015
GABBAR IS BACK,U/A,3.75,BIG CINEMAS,23,May,SATURDAY,2015
TANU WEDS MANU RETURNS,U/A,3.5,BIG CINEMAS,24,May,SUNDAY,2015
ABCD 2,U,3.25,COSMOPLEX-BLUE,24,June,WEDNESDAY,2015
DIL DHADAKNE DO,U/A,3,COSMOPLEX-RED,7,June,SUNDAY,2015
BAJRANGI BHAIJAAN,U/A,4,COSMOPLEX-BLUE,21,July,TUESDAY,2015
BAAHUBALI,U/A,3.25,BIG CINEMAS,26,July,SUNDAY,2015
MISSION IMPOSSIBLE ROGUE NATION,U/A,3.25,COSMOPLEX-RED,9,August,SUNDAY,2015
PHANTOM,U/A,3.5,COSMOPLEX-BLUE,28,August,FRIDAY,2015
WELCOME BACK,U/A,3,CINEMAX,5,September,SATURDAY,2015
TALVAAR,U/A,4,INOX,15,October,THURSDAY,2015
PREM RATAN DHAN PAYO,U,3.5,BIG CINEMAS,22,November,SUNDAY,2015
TAMASHA,U/A,3,BIG CINEMAS,6,December,SUNDAY,2015
DILWALE,U/A,3.5,COSMOPLEX-BLUE,20,December,SUNDAY,2015
AIRLIFT,U/A,4,COSMOPLEX-BLUE,24,January,SUNDAY,2016
JUNGLE BOOK,U,3.5,BIG CINEMAS,9,April,SATURDAY,2016
FAN,U/A,3.5,BIG CINEMAS,16,April,SATURDAY,2016
HOUSEFULL-3,U/A,3,PVR,3,June,FRIDAY,2016
SULTAN,U/A,3.25,COSMOPLEX-BLUE,9,July,SATURDAY,2016
DISHOOM,U/A,3,INOX,4,August,THURSDAY,2016
RUSTOM,U/A,4,COSMOPLEX-RED,18,August,THURSDAY,2016
M.S. DHONI- THE UNTOLD STORY,U,4,COSMOPLEX-BLUE,2,October,SUNDAY,2016
AE DIL HAI MUSHKIL,U/A,3.25,INOX,31,October,MONDAY,2016
FORCE-2,U/A,3.5,COSMOPLEX-BLUE,21,November,MONDAY,2016
DANGAL,U,4.5,INOX,26,December,MONDAY,2016
RAEES,U/A,3.25,BIG CINEMAS,26,January,THURSDAY,2017
JOLLY LLB 2,U/A,3.5,BIG CINEMAS,12,February,SUNDAY,2017
BADRINTH KI DULHANIA,U/A,3.25,COSMOPLEX-BLUE,22,March,WEDNESDAY,2017
FAST AND FURIOUS 8,U/A,3.75,COSMOPLEX-BLUE,16,April,SUNDAY,2017
BAAHUBALI 2,U/A,4,COSMOPLEX-BLUE,1,May,MONDAY,2017
SACHIN A BILLION DREAMS,U,3.5,BIG CINEMAS,7,June,WEDNESDAY,2017
RAABTA,U/A,2.5,PVR,13,June,TUESDAY,2017
THE MUMMY,A,2,COSMOPLEX-RED,18,June,SUNDAY,2017
MOM,U/A,4,BIG CINEMAS,8,July,SATURDAY,2017
JAGGA JASOOS,U,3,COSMOPLEX-BLUE,14,July,FRIDAY,2017
JAB HARRY MET SEJAL,U/A,3.25,COSMOPLEX-RED,14,August,MONDAY,2017
MUBARKAAN,U/A,3.25,BIG CINEMAS,15,August,TUESDAY,2017
SIMRAN,U/A,3,INOX,21,September,THURSDAY,2017
JUDWAA 2,U/A,3,PVR,30,September,THURSDAY,2017
GOLMAAL AGAIN,U/A,3,BIG CINEMAS,25,November,SATURDAY,2017
TIGER ZINDA HAI,U/A,2.5,COSMOPLEX-BLUE,30,December,SATURDAY,2017
PADMAAVAT,U/A,4.25,PVR,28,January,SUNDAY,2018
SONU KE TITU KI SWEETY,U/A,3.5,BIG CINEMAS,4,March,SUNDAY,2018
PARI NOT A FAIRY TALE,A,2,BIG CINEMAS,8,March,THURSDAY,2018
BAAGHI 2,U/A,3,COSMOPLEX-BLUE,31,March,SATURDAY,2018
RAAZI,U/A,4,COSMOPLEX-BLUE,20,May,SUNDAY,2018
PARMANU THE STORY OF POKHRAN,U,4.25,COSMOPLEX-RED,26,May,SATURDAY,2018
SANJU,U/A,4.5,BIG CINEMAS,1,July,SUNDAY,2018
MISSION IMPOSSIBLE FALLOUT,U/A,3.5,INOX,29,July,SUNDAY,2018
SATYAMEVA JAYATE,A,3.5,BIG CINEMAS,22,August,WEDNESDAY,2018
GOLD,U/A,3.5,INOX,25,August,SATURDAY,2018
STREE,U/A,4,PVR,4,September,TUESDAY,2018
ANDHADHUN,U/A,4.5,MAYAJAAL,8,October,MONDAY,2018
BADHAAI HO,U/A,3.25,INOX,8,November,THURSDAY,2018
2.O,U/A,3.5,INOX,29,November,THURSDAY,2018
ZERO,U/A,2,COSMOPLEX-BLUE,21,December,FRIDAY,2018
SIMMBA,U/A,3.5,BIG CINEMAS,29,December,SATURDAY,2018
URI THE SURGICAL STRIKE,U/A,4.5,PVR,15,January,TUESDAY,2019
MANIKARNIKA,U/A,3,PALLAZO,27,January,SUNDAY,2019
GULLY BOY,U/A,3.5,PVR,23,February,SUNDAY,2019
EKLADKI KO DEKHA TO AISA LAGA,U/A,3,LUXE,1,February,FRIDAY,2019
TOTAL DHAMAAL,U,2,COSMOPLEX-BLUE,4,March,MONDAY,2019
LUKA CHUPPI,U/A,3.5,INOX,6,March,WEDNESDAY,2019
BADLA,U/A,4,INOX,9,March,SATURDAY,2019
AVENGERS END GAME,U/A,4,PVR,29,April,MONDAY,2019
DE DE PYAAR DE,U/A,3,PVR,31,May,FRIDAY,2019
BHAARAT,U/A,3,GRAN VIA 2,11,June,TUESDAY,2019
KABIR SINGH,A,2,COSMOPLEX-BLUE,23,June,SUNDAY,2019
ARTICLE 15,U/A,3,COSMOPLEX-RED,17,June,MONDAY,2019
HOBBS AND SHAW,A,2,BIG CINEMAS,11,August,SATURDAY,2019
BATLA HOUSE,U/A,4,COSMOPLEX-RED,15,August,THURSDAY,2019
MISSION MANGAL,U,3.5,BIG CINEMAS,16,August,FRIDAY,2019
CHHICHHORE,U/A,4,PVR,8,September,SUNDAY,2019
DREAM GIRL,U/A,2.5,BIG CINEMAS,26,September,THURSDAY,2019
WAR,U/A,4,INOX,4,October,FRIDAY,2019
HOUSEFULL-4,U/A,3,COSMOPLEX-BLUE,26,October,SATURDAY,2019
Pati Patni aur wow,U/A,3,COSMOPLEX-RED,12,December,THURSDAY,2019